variance,curtosis,class
1.9105,-2.3386,0
-1.9116,5.606,1
-2.5526,6.9255,1
2.8033,-3.3668,0
0.14783,1.0742,0
4.1038,3.3491,0
-3.8826,-0.92311,1
-4.6765,10.969,1
-2.2804,1.3347,1
-1.8974,-1.7842,1
4.0948,2.3689,0
2.9543,0.64577,0
-2.2811,2.7185,1
1.762,2.1384,0
-0.82053,-0.48869,1
-4.0679,0.79571,1
0.58836,-1.3884,0
3.7321,3.3577,0
-2.6685,9.1139,1
3.4312,-1.9513,0
3.2692,0.20706,0
-3.9204,-0.23678,1
0.24835,0.9885,0
2.6881,-0.46641,0
1.7425,-4.0129,1
0.0096613,-4.407,1
2.2034,0.53009,0
-0.77995,-3.282,1
1.7317,4.1905,0
3.9294,1.8076,0
-0.4294,0.044265,1
-3.8953,-0.3019,1
-3.3863,13.0545,1
3.966,0.70574,0
0.84546,-3.6307,1
2.4391,-0.80743,0
3.9994,1.1693,0
-0.93587,4.5367,1
-1.2792,-0.47584,1
-3.3125,0.55323,1
1.0191,4.9334,0
5.1776,-3.2511,0
2.8261,-3.3034,0
0.44125,4.3225,0
1.0284,-1.3687,0
2.805,1.3424,0
0.16358,1.3749,1
-0.048008,7.7215,0
-2.2617,6.3489,1
-1.7104,6.2109,1
1.7748,5.5854,0
2.6719,0.37158,0
3.2032,-0.75345,0
-2.4349,8.9922,1
2.7213,-0.58808,0
-1.9966,9.682,1
3.4647,3.9746,0
1.5478,-1.6326,0
2.0139,0.37929,0
-3.9594,-0.35845,1
2.4673,1.7125,0
3.8023,4.044,0
-0.3481,-0.47841,1
0.86816,-1.4912,0
0.49665,1.7785,0
2.3066,0.57551,0
0.3798,0.7572,0
-2.484,2.8204,0
0.025013,-4.4327,1
3.2303,-3.5348,0
2.4486,7.9632,0
-1.1804,0.15565,0
1.2262,5.7568,0
2.8523,-3.761,0
-1.6662,1.4238,1
-1.8448,0.27218,1
-1.8187,9.0162,1
-0.3489,-3.4054,1
-2.4561,6.4534,1
0.4339,2.033,0
2.0922,8.4636,0
0.11592,-3.4302,1
4.6361,2.8358,0
3.245,-0.63435,0
-1.6001,9.4044,1
2.7161,4.1914,0
2.4008,-3.3565,0
-2.4941,-1.3721,1
-0.539,3.4399,1
4.1349,-2.4294,0
-0.97325,5.6026,1
-2.8829,-0.1888,1
-3.3884,10.3315,1
-1.3066,0.7623,1
-3.5985,17.6052,1
-0.36038,3.1143,0
-4.3667,0.57208,1
0.27451,-3.2863,0
-1.6988,5.7902,1
2.5581,1.8513,0
0.11739,-1.5495,0
-2.2501,-0.88369,1
0.20216,-3.2828,1
-0.036127,-1.4089,1
-1.8782,4.8486,1
-0.55648,-3.3085,1
-1.9667,-0.40472,0
2.7744,-1.0671,0
-5.1661,0.044265,1
2.1319,2.5574,0
-0.89809,2.2009,1
0.80355,4.3439,0
2.8561,-0.79372,0
-2.8267,9.0694,1
1.518,0.094818,0
1.9647,0.57722,0
-3.6012,10.5234,1
-1.8046,6.7019,1
2.5605,-3.5913,0
1.8373,0.84027,0
4.9923,-2.3515,0
3.3004,-1.3258,0
-1.2537,1.931,0
-1.979,-1.3575,1
-2.2183,2.9986,1
-3.1158,10.4403,1
1.7819,-1.2744,0
-1.1188,-1.3455,1
0.88992,-3.1046,1
3.7798,2.6491,0
2.6463,6.3549,0
-0.87834,-3.6778,1
-1.6936,-2.1835,1
-1.7599,2.6756,0
5.9374,-2.5905,0
-1.3389,7.0806,0
3.7352,-3.9032,0
0.64376,-4.4738,1
3.8644,0.70403,0
-3.793,12.7957,1
1.6426,0.22849,0
0.38478,-0.3336,0
1.5904,-3.1183,1
2.9856,-0.409,0
0.63655,-5.2159,1
-2.2625,2.8127,1
1.4896,-4.0309,1
-4.4779,-0.31218,1
-2.0962,6.6188,1
-0.77288,6.492,1
0.61652,-4.7275,1
3.1541,6.5991,0
0.88444,0.55837,0
0.77445,-2.4089,0
-2.3898,3.0141,1
-2.6479,-1.331,0
-1.9725,-2.3086,1
1.164,-4.5544,1
-0.40804,-0.52725,1
5.0429,0.50439,0
-0.50816,-1.8108,1
4.1542,-2.4766,0
-2.6989,0.67661,0
1.296,-4.8457,1
-0.38388,8.0514,0
4.0215,2.4957,0
3.9232,3.4579,0
-6.1536,0.61663,1
-3.8858,12.7957,1
-4.3773,10.939,1
3.8384,-2.0439,0
0.64295,0.3493,0
0.85574,6.6042,0
0.74307,-1.3824,0
-2.588,-0.3336,1
3.583,3.4391,0
-2.0441,0.18564,1
2.6648,-3.3994,0
3.4359,2.1041,0
-3.5916,10.2389,1
3.9121,0.92852,0
-4.9447,1.063,1
-2.3361,3.0835,0
-2.0759,2.6439,0
-3.9934,0.54723,1
-1.5951,4.7689,1
-2.7419,2.5394,0
-4.3967,-0.64892,1
2.7961,1.8385,0
0.4283,-1.0731,1
0.33111,2.057,0
-0.49241,-1.6283,1
-0.98193,-1.2341,1
-1.6952,8.8294,0
4.6562,-2.4243,0
5.681,-2.6848,0
-2.1668,0.045122,1
2.0153,3.1375,0
-2.4554,8.862,1
-1.786,7.0858,1
-1.0941,-2.5237,1
3.2294,-0.37816,0
0.6212,-4.0771,1
3.6941,4.2625,0
2.483,-0.79287,0
-0.59587,-2.8673,1
-1.2846,-1.7671,1
-2.6864,0.61663,1
-1.5222,2.7827,0
1.8993,0.15394,0
4.6054,2.7587,0
-1.8343,5.6429,1
-2.7028,0.83598,1
4.1927,2.5839,0
1.2138,-2.1672,0
4.1529,2.8633,0
-0.2062,-3.7044,0
-3.5895,10.5251,1
4.65,3.4553,0
4.0524,-1.9693,0
-3.7747,0.83341,1
3.5458,-4.0351,0
3.5862,2.8093,0
2.9233,-0.11168,0
0.67886,-4.569,1
2.7206,-3.3111,0
-2.0659,-0.46298,1
4.1654,3.643,0
-4.1244,-0.6532,1
5.0691,0.20278,0
1.6032,8.5193,0
-0.47465,1.9901,1
2.0153,4.5864,0
3.866,1.9242,0
-1.9423,-1.2898,1
2.2928,-3.2417,0
-0.11996,0.91995,0
-2.7908,5.953,1
-0.8172,-3.6684,1
4.9362,-2.3429,0
3.0672,3.8238,0
4.2475,-0.48355,0
4.3684,-3.9606,0
-2.3221,9.233,1
4.0552,1.4563,0
0.92703,-0.66263,0
-4.2091,-0.49126,1
-3.0866,10.5405,1
3.1377,4.5701,0
3.8213,2.0133,0
-3.3582,11.4419,1
-1.2667,-2.426,1
-3.2051,0.97565,1
0.030219,1.4024,1
0.062525,-3.5467,1
2.565,-2.9941,0
-6.1632,-0.21621,1
-1.8629,2.5377,1
3.7831,-3.8869,0
-0.016103,0.15394,0
0.74841,1.1504,0
-0.36025,2.1067,1
2.9736,-3.6359,0
-4.0025,17.6772,1
-1.7781,7.1303,0
3.2051,-2.9033,0
0.11806,-0.98223,1
1.3562,4.3465,0
0.2952,-5.149,1
-4.8426,10.4052,1
0.83625,-2.4706,1
5.2418,-4.1174,0
2.8672,-3.2049,0
-1.6637,-2.2701,1
0.52374,-4.0746,1
0.90407,-4.4987,1
0.045304,1.0708,0
-3.3458,2.6328,1
0.57461,-1.6917,0
-3.5359,0.6569,1
1.0235,-2.0062,0
1.941,4.6472,0
-1.7322,7.719,1
5.2756,0.12138,0
2.4196,-0.75688,0
-3.1423,15.6773,1
3.4985,0.22677,0
1.0135,-1.672,0
1.4501,-4.0557,1
-0.41965,-1.7859,1
5.591,-4.3839,0
3.3583,-3.7301,0
4.0127,-3.9366,0
3.5127,1.0579,0
3.0329,2.1135,0
-0.1269,-0.95138,1
-1.9177,2.5454,0
-4.3876,11.9655,1
-3.7181,12.363,1
3.8117,-4.0463,0
2.9421,-0.97709,0
5.8519,-2.4037,0
4.5691,3.1769,0
-1.6244,4.6575,1
-2.7611,9.0239,1
1.5799,7.9186,0
-1.9551,5.5383,1
2.549,-1.1605,0
-2.1234,-0.55552,1
-1.6677,7.8929,1
-1.7101,7.9735,1
2.9695,0.27561,0
2.3729,-3.0087,0
0.87603,0.84198,0
-0.0068919,-0.41243,0
3.2704,-1.0456,0
2.5559,2.0321,0
2.8297,-0.73546,0
-5.119,-0.049987,1
5.4944,0.041694,0
-4.0218,12.555,1
0.96574,-1.361,0
-1.4174,1.518,1
4.2586,-4.0943,0
1.9476,8.527,0
4.1711,-3.0224,0
3.8832,-2.432,0
2.2279,-4.8037,1
-1.7559,3.0946,0
-1.7976,6.6753,1
-2.0149,-1.9385,1
0.17346,0.26876,0
3.5594,1.291,0
3.9899,2.3946,0
-3.1128,10.7402,1
-1.4454,8.8483,1
0.83292,0.65005,0
-1.0401,0.85998,0
0.21084,-0.094543,0
0.5195,3.0895,0
5.2868,-1.3721,0
-1.366,0.90539,1
-1.682,7.1398,1
-3.1273,11.3897,1
2.6213,0.065686,0
4.3848,3.0423,0
-0.60975,1.8471,1
0.7376,-4.7986,1
4.0446,-4.3582,0
2.1616,8.1517,0
2.6104,-0.23592,0
0.7049,-1.7859,1
-1.3887,6.4774,1
-0.90784,6.7807,1
4.6689,0.055404,0
2.4226,5.947,0
3.4916,-3.0326,0
-0.27068,-3.5562,1
-0.40857,-2.9607,1
2.4287,-3.2477,0
-2.2173,-0.72689,1
-5.0676,10.4266,1
0.88872,2.045,0
-0.9854,5.8245,1
-0.77848,-3.4859,1
-0.87874,-0.051701,1
-0.16735,1.2061,0
-4.244,17.1116,1
1.594,1.3758,0
-0.62684,4.7843,1
4.8278,-2.4491,0
-6.2815,0.52581,1
-3.551,0.1865,1
-2.6479,-1.331,0
2.6682,-3.4414,0
1.1315,1.093,0
2.031,-3.0121,1
1.3049,6.4911,0
2.0843,0.48382,0
4.2969,-2.3874,0
2.0165,5.1707,0
3.6244,1.3501,0
1.602,0.52924,0
4.7181,-3.9486,0
-0.278,-3.1338,0
-6.3364,0.014275,1
-0.63298,4.5624,1
6.5633,-4.4113,0
0.50225,-1.1793,1
-3.6085,-0.51954,1
0.5195,3.0895,0
2.8521,-3.6461,0
-2.2527,2.5899,0
5.438,-4.9417,0
3.884,-3.9298,0
-1.0802,-2.5862,1
-3.7573,10.3032,1
4.7114,-0.2702,0
-3.5801,13.1779,1
-1.6029,1.62,1
-1.4628,2.4357,1
-2.6406,5.983,1
-0.55008,-1.6488,1
-2.9883,0.45041,1
-2.5346,3.3602,1
2.5698,5.9856,0
-1.5322,6.6779,1
-0.74324,-0.42785,1
4.7926,-0.051701,0
5.1302,-2.8913,0
-2.0545,9.4926,1
1.2706,-0.19651,0
4.8851,-0.00029081,0
-3.5637,12.393,1
3.1557,0.59693,0
-3.9698,-0.60008,1
3.5499,-3.2794,0
-1.5621,4.2591,1
-2.341,0.70403,0
4.0715,-2.0824,0
3.8999,1.6011,0
2.9571,5.9068,0
-4.211,14.9704,1
0.11032,-3.3668,1
-0.62043,-0.38587,1
3.7635,0.66119,0
-3.9411,13.0597,1
-3.73,12.9817,1
-7.0421,0.25933,1
-1.1391,6.9144,0
4.0422,4.7466,0
-2.2261,2.9438,0
-1.5768,2.5462,0
2.1274,-1.7971,0
-1.4233,2.3586,1
-2.5899,0.93452,1
-4.4996,0.56265,1
1.8216,8.0514,0
-2.3277,-0.82114,1
-4.2249,0.15822,1
3.5829,1.0219,0
0.33325,-4.5081,1
-0.69572,1.8419,0
-0.64472,8.347,0
4.7965,-1.9967,0
-1.3946,-0.44499,1
-1.7549,-0.75774,1
2.1059,-0.47755,0
3.5251,1.6928,0
-5.8818,0.5558,1
-2.5919,3.8949,1
1.2279,-4.6435,1
-3.6961,17.5795,1
-3.8053,0.6809,1
1.7939,1.5454,0
-0.11783,8.03,0
1.8592,-0.15966,0
1.6408,-4.9023,1
2.6606,1.9619,0
3.4092,-2.5228,0
0.76163,1.1959,0
4.1736,-1.4244,0
-2.1674,-1.0465,1
-1.7479,5.8699,1
-0.17296,1.3818,1
1.1588,-2.0807,0
-3.8552,-0.38415,1
-5.2049,0.070827,1
5.1731,-1.983,0
-1.0112,-1.1664,1
2.2504,0.35273,0
2.7391,0.071684,0
3.5156,-4.2759,0
3.9262,-2.0156,0
-0.72068,5.8408,1
3.6575,-2.2692,0
2.3136,-3.5288,0
1.3087,2.0013,0
0.7057,8.3368,0
-0.048008,8.4756,0
0.40614,-1.4501,1
-4.1429,0.68261,1
3.9382,0.78543,0
-2.343,3.3285,0
0.5195,3.0895,0
2.8969,2.29,0
-2.4824,6.839,1
4.5597,2.6413,0
-4.0173,12.4547,1
0.55939,0.18307,1
3.534,-3.6316,0
0.066129,-2.9401,1
1.6849,-1.2641,0
2.2091,-1.3284,0
-1.48,9.9176,1
5.7456,-4.7857,0
-0.77688,-0.031137,1
-0.8734,-2.1964,1
-1.4375,4.026,1
-1.1667,2.9241,1
3.6894,-4.0788,0
-2.3299,8.4756,1
1.2616,-1.3335,0
-2.0891,1.704,1
-4.1409,-0.47841,1
-1.2369,2.518,1
3.8481,-3.8561,0
-3.518,0.1548,1
3.404,-2.9915,0
-1.8076,8.7086,1
2.877,3.6259,0
4.2772,0.48554,0
3.5982,-1.3035,0
1.3183,-3.3111,1
2.8084,-3.3394,0
-3.3793,17.9274,1
3.7982,-4.1602,0
1.3114,2.2935,0
0.24394,-1.4192,1
3.3299,1.5806,0
4.2899,-4.6067,0
-0.53072,-0.21793,1
-2.5724,2.7073,1
-2.5701,8.9999,1
-0.40951,0.060545,1
3.4893,-1.2042,0
2.0051,8.132,0
1.8967,2.8093,0
-4.8861,-0.17252,1
0.26517,-2.8416,1
5.7403,0.38015,0
0.3292,4.5718,0
-0.092194,-0.32846,1
5.1213,-3.3917,0
4.6765,3.4896,0
3.1896,-0.18537,0
-1.4904,1.6054,1
-1.8584,-1.6643,0
2.5089,-0.029423,0
1.208,-4.7635,1
-1.8391,9.2416,1
4.068,2.1992,0
-1.3885,0.69118,0
-2.286,5.8039,1
1.2247,-2.2135,0
1.1432,5.5777,0
0.0040545,-0.64121,1
2.108,-0.1708,0
-6.0598,-0.43642,1
0.0071249,0.50781,0
5.1321,0.32616,0
1.5701,0.29018,0
-6.3679,0.4247,1
-2.0754,-0.64206,1
-1.3968,9.4652,1
-1.5228,5.7568,1
4.3483,-4.0857,0
-1.9881,-0.28562,1
1.7452,2.0878,0
-1.5572,8.1088,1
-6.7526,-0.061983,1
-1.3274,2.4408,0
-2.1405,1.321,1
0.26637,-0.67891,1
4.0932,-1.8219,0
-4.5531,15.4417,1
-1.3931,7.5382,0
3.4566,-4.0112,0
-0.023579,0.78457,0
-0.28696,-3.5767,1
-2.4473,0.73573,0
4.7432,0.1368,0
1.1166,-0.96252,0
-1.1193,2.0938,0
-3.2778,0.1805,1
-4.4861,17.3087,1
0.74521,-4.4044,1
0.66018,-1.4029,0
1.0117,-2.3506,1
4.4295,1.7048,0
-1.9389,0.045979,1
2.0177,-2.9581,1
-1.5075,7.1466,0
-2.5912,1.2798,1
-0.49281,-1.8356,1
-1.5877,5.8022,1
5.7227,-2.4097,0
3.9414,3.1674,0
1.3566,2.1341,0
1.6988,2.9044,0
-3.5798,2.3457,1
-0.83535,-1.6411,1
0.5706,1.2421,0
0.25943,-5.0394,1
-5.525,0.89768,1
-4.7331,11.388,1
1.4884,3.308,0
2.3925,-3.0361,0
5.504,-4.413,0
-1.7263,5.2419,1
0.5706,1.2421,0
-1.1005,6.0139,1
3.2351,-3.2074,0
4.223,0.72202,0
-0.7351,-1.4938,1
3.8417,-4.2699,0
-6.9599,0.2182,1
0.95626,4.4578,0
2.7365,6.6608,0
4.4549,1.0313,0
-3.1366,2.6225,1
0.93611,-1.6351,0
4.2458,0.66633,0
0.77805,-1.1425,0
-2.7338,2.4391,1
-2.1241,5.5992,1
1.2999,2.0107,0
1.6349,2.8753,0
-1.005,-0.2462,1
1.0182,-0.62064,0
4.1962,0.83256,0
2.6917,-3.3,0
-2.4621,-0.62578,1
-1.5252,5.3524,1
-0.11716,-0.38587,1
-2.1786,6.0344,1
-1.3,-2.953,0
0.27331,-4.9194,1
-5.0477,11.244,1
0.89566,-2.7473,0
-0.61442,-0.31818,1
-0.66008,3.8058,1
-2.5463,-0.83228,1
0.19081,-3.725,0
3.0864,2.2309,0
-2.902,11.8318,1
1.5691,-0.1828,0
-3.8894,9.8208,1
0.91315,-4.0557,1
-2.3142,-0.46813,1
-4.1479,-0.083404,1
4.616,-4.2185,0
3.8846,2.5334,0
4.0047,1.3621,0
1.1676,-2.0867,0
4.3435,0.83598,0
3.3577,6.0241,0
1.0552,-2.6411,1
-0.56877,-1.4252,1
-1.4106,5.6454,1
0.59823,-3.9795,1
0.22432,-0.40386,1
-2.1333,-0.084261,1
2.2596,4.7355,0
4.7072,-2.5605,0
3.6181,2.8273,0
-0.89542,-2.3652,1
3.9771,-3.9272,0
-1.5851,1.7082,1
-3.8952,-0.31304,1
-0.91718,1.1804,0
-2.41,-0.40215,1
-5.4414,0.10938,1
-2.899,2.6045,1
0.47368,-4.5064,1
1.5077,-3.0584,1
1.4479,8.3428,0
1.581,-2.3138,1
4.9294,0.20792,0
4.0962,-3.9323,0
1.5268,8.6564,0
4.0552,2.2806,0
-2.0336,1.1582,1
0.96788,1.2798,0
-0.12624,-3.7121,0
-1.803,2.0458,0
0.15423,-1.6823,1
-2.1059,-0.53324,1
-5.9034,0.67661,1
3.9292,2.2129,0
3.6582,-1.7157,0
5.032,-2.6256,0
-3.4917,14.3689,1
-0.78289,-0.37644,0
-3.5741,-0.07912,1
1.5356,-2.2718,0
